"68","-1.3","99.1","May 30, 2018 at 2:45 PM","101","98.4","98.5","555","20.18","202,375","99.8","BXPHARMA"
"69","0.2","9.2","May 30, 2018 at 2:45 PM","9.7","9.1","9.3","25","0.106","11,498","9.1","BXSYNTH"
"70","-0.1","8","May 30, 2018 at 2:45 PM","8","8","8","38","1.06","132,500","8.1","CAPMBDBLMF"
"71","0","8.9","May 30, 2018 at 2:45 PM","9.1","8.8","9","75","2.678","298,727","9","CAPMIBBLMF"
"72","-0.5","21","May 30, 2018 at 2:45 PM","23","20.3","20.7","29","0.279","13,191","21.2","CENTRALINS"
"73","-0.5","15.6","May 30, 2018 at 2:45 PM","16.2","15.5","15.6","368","6.856","431,915","16.1","CENTRALPHL"
"74","-0.2","34.2","May 30, 2018 at 2:45 PM","34.7","34.1","34.1","220","12.667","369,280","34.3","CITYBANK"
"75","-0.1","13.7","May 30, 2018 at 2:45 PM","14","13.6","13.7","28","0.321","23,399","13.8","CITYGENINS"
"76","0.2","6.6","May 30, 2018 at 2:45 PM","6.7","6.5","6.6","85","1.035","157,204","6.4","CNATEX"
"77","-0.9","143.1","May 30, 2018 at 2:45 PM","147.6","142.1","144","336","10.544","72,853","144.9","CONFIDCEM"
"78","0","16","May 30, 2018 at 2:45 PM","16","15.8","16","8","0.209","13,045","16","CONTININS"
"79","-4.4","199.6","May 30, 2018 at 2:45 PM","208.4","197","197.2","828","14.818","73,070","201.6","CVOPRL"
"80","0","7.1","May 30, 2018 at 2:45 PM","7.2","7.1","7.1","15","0.136","19,050","7.1","DACCADYE"
"81","0.3","37.3","May 30, 2018 at 2:45 PM","38.4","37.2","37.2","191","5.102","135,970","36.9","DAFODILCOM"
"82","0.7","134.4","May 30, 2018 at 2:45 PM","134.5","132.7","133.1","100","9.667","72,419","132.4","DBH"
"83","0.1","9.6","May 30, 2018 at 2:45 PM","9.8","9.4","9.8","11","1.784","185,460","9.7","DBH1STMF"
"84","-1.7","101","May 30, 2018 at 2:45 PM","105","100.8","101.1","138","5.949","58,098","102.8","DELTALIFE"
"85","0","8.4","May 30, 2018 at 2:45 PM","8.6","8.4","8.4","123","3.164","373,997","8.4","DELTASPINN"
